race	Eton Blue Stripe(1, 2, 3)	Eton Red Stripe(4, 5, 6)	Blue Stripe(7, 8, 9)	Green Stripe(10, 11, 12)	MTS Black Hulls(1, 2, 3)	MTS White Hulls(4, 5, 6)
1	Reading Red	UCXCX
2			Brookes	Bristol White
3					Bristol Blue	Green Goblins
4	Reading Red	Green Giants
5			Brookes	Sussex Fenders
6					Bristol Blue	Imperial Red
7	UCD	Green Giants
8			Plymouth Black	Sussex Fenders
9					Surrey Gold	Imperial Red
10	UCD	Southampton Black
11			Plymouth Black	Eton 1s
12					Surrey Gold	Eton 2s
13	Datchet 1s	Southampton Black
14			Green Goblins	Eton 1s
15					Bristol White	Eton 2s
16	Datchet 1s	UCXCX
17			Green Goblins	UCD
18					Bristol White	Surrey Gold
19	Green Giants	UCXCX
20			Brookes	UCD
21					Plymouth Black	Surrey Gold
22	Green Giants	Imperial Red
23			Brookes	Southampton Black
24					Plymouth Black	Reading Red
25	Sussex Fenders	Imperial Red
26			Bristol Blue	Southampton Black
27					Eton 1s	Reading Red
28	Sussex Fenders	Datchet 1s
29			Bristol Blue	Eton 2s
30					Eton 1s	Bristol White
31	Green Goblins	Datchet 1s
32			UCXCX	Eton 2s
33					Southampton Black	Bristol White
34	Green Goblins	Plymouth Black
35			UCXCX	Sussex Fenders
36					Southampton Black	Green Giants
37	Imperial Red	Plymouth Black
38			Surrey Gold	Sussex Fenders
39					Bristol Blue	Green Giants
40	Imperial Red	Eton 2s
41			Surrey Gold	Brookes
42					Bristol Blue	Datchet 1s
43	Eton 1s	Eton 2s
44			Reading Red	Brookes
45					UCD	Datchet 1s
46	Eton 1s	UCXCX
47			Reading Red	Green Goblins
48					UCD	Bristol White
49	Southampton Black	UCXCX
50			Brookes	Green Goblins
51					Imperial Red	Bristol White
52	Southampton Black	Sussex Fenders
53			Brookes	Plymouth Black
54					Imperial Red	Eton 1s
55	Green Giants	Sussex Fenders
56			Datchet 1s	Plymouth Black
57					Bristol Blue	Eton 1s
58	Green Giants	Eton 2s
59			Datchet 1s	Surrey Gold
60					Bristol Blue	UCD
61	Reading Red	Eton 2s
62			Green Goblins	Surrey Gold
63					UCXCX	UCD
64	Reading Red	Bristol White
65			Green Goblins	Eton 2s
66					UCXCX	Plymouth Black
67	Bristol Blue	Bristol White
68			UCD	Eton 2s
69					Green Giants	Plymouth Black
70	Bristol Blue	Surrey Gold
71			UCD	Reading Red
72					Green Giants	Datchet 1s
73	Eton 1s	Surrey Gold
74			Southampton Black	Reading Red
75					Brookes	Datchet 1s
76	Eton 1s	Sussex Fenders
77			Southampton Black	Imperial Red
78					Brookes	UCXCX
79	Bristol White	Sussex Fenders
80			Green Goblins	Imperial Red
81					Surrey Gold	UCXCX
82	Bristol White	Green Giants
83			Green Goblins	Southampton Black
84					Surrey Gold	UCD
85	Eton 1s	Green Giants
86			Plymouth Black	Southampton Black
87					Sussex Fenders	UCD
88	Eton 1s	Brookes
89			Plymouth Black	Eton 2s
90					Sussex Fenders	Bristol Blue
91	Imperial Red	Brookes
92			Datchet 1s	Eton 2s
93					Reading Red	Bristol Blue
94	Imperial Red	UCXCX
95			Bristol White	Green Goblins
96					Reading Red	Datchet 1s
97	Bristol Blue	UCXCX
98			Bristol White	Plymouth Black
99					Imperial Red	Datchet 1s
100	Green Goblins	Green Giants
101			Brookes	Eton 2s
102					Reading Red	Sussex Fenders
103	UCD	Eton 1s
104			Surrey Gold	Southampton Black
105					Reading Red	Imperial Red
106	UCD	Plymouth Black
107			Surrey Gold	Green Giants
108					UCXCX	Bristol White
109	Bristol Blue	Brookes
110			Green Goblins	Sussex Fenders
111					Eton 1s	Datchet 1s
112	Southampton Black	Eton 2s
113			Green Goblins	UCXCX
114					Bristol White	Datchet 1s
115	Sussex Fenders	Eton 2s
116			Imperial Red	UCD
117					Reading Red	Surrey Gold
118	Plymouth Black	Bristol Blue
119			Brookes	Green Giants
120					Southampton Black	Eton 1s
