race	Eton Blue Stripe(1, 2, 3)	Eton Red Stripe(4, 5, 6)	Blue Stripe(7, 8, 9)	Green Stripe(10, 11, 12)	MTS Black Hulls(1, 2, 3)	MTS White Hulls(4, 5, 6)
1	Datchet 1s	Eton 2s
2			Brookes	Surrey Gold
3					Green Goblins	Kobra Hurricane
4	Reading Red	Eton 2s
5			Bristol White	Surrey Gold
6					Green Giants	Kobra Hurricane
7	Reading Red	Eton 1s
8			Bristol White	Plymouth Black
9					Green Giants	Imperial Red
10	UCXCX	Eton 1s
11			Bristol Blue	Plymouth Black
12					Sussex Fenders	Imperial Red
13	UCXCX	Southampton Black
14			Bristol Blue	UCD
15					Sussex Fenders	Datchet 1s
16	Brookes	Southampton Black
17			Green Goblins	UCD
18					Imperial Red	Bristol Blue
19	Eton 2s	Eton 1s
20			Brookes	Plymouth Black
21					Imperial Red	Green Goblins
22	Eton 2s	Southampton Black
23			Brookes	UCD
24					Sussex Fenders	Green Goblins
25	Reading Red	Southampton Black
26			Bristol White	UCD
27					Sussex Fenders	Green Giants
28	Reading Red	Surrey Gold
29			Bristol White	Kobra Hurricane
30					Datchet 1s	Green Giants
31	UCXCX	Surrey Gold
32			Bristol Blue	Kobra Hurricane
33					Datchet 1s	Eton 1s
34	UCXCX	Plymouth Black
35			UCD	Reading Red
36					Sussex Fenders	Bristol White
37	Eton 1s	Southampton Black
38			UCD	UCXCX
39					Sussex Fenders	Bristol Blue
40	Eton 1s	Surrey Gold
41			Kobra Hurricane	UCXCX
42					Green Giants	Bristol Blue
43	Eton 2s	Surrey Gold
44			Kobra Hurricane	Brookes
45					Green Giants	Green Goblins
46	Eton 2s	Plymouth Black
47			Imperial Red	Brookes
48					Datchet 1s	Green Goblins
49	Reading Red	Plymouth Black
50			Imperial Red	Bristol White
51					Datchet 1s	Southampton Black
52	Green Goblins	Bristol Blue
53			Eton 1s	UCD
54					UCXCX	Sussex Fenders
55	Datchet 1s	Bristol Blue
56			Eton 2s	UCD
57					Brookes	Sussex Fenders
58	Datchet 1s	Surrey Gold
59			Eton 2s	Kobra Hurricane
60					Brookes	Green Giants
61	Southampton Black	Surrey Gold
62			Reading Red	Kobra Hurricane
63					Bristol White	Green Giants
64	Southampton Black	Plymouth Black
65			Reading Red	Imperial Red
66					Bristol White	Green Goblins
67	Eton 1s	Plymouth Black
68			UCXCX	Imperial Red
69					Bristol Blue	Brookes
70	Southampton Black	UCD
71			Reading Red	Sussex Fenders
72					Bristol Blue	Bristol White
73	Southampton Black	Kobra Hurricane
74			Reading Red	Green Giants
75					Datchet 1s	Bristol White
76	Eton 1s	Kobra Hurricane
77			UCXCX	Green Giants
78					Datchet 1s	Plymouth Black
79	Eton 1s	Imperial Red
80			UCXCX	Green Goblins
81					Surrey Gold	Plymouth Black
82	Eton 2s	Imperial Red
83			Brookes	Green Goblins
84					Surrey Gold	UCD
85	Eton 2s	Sussex Fenders
86			Bristol Blue	UCXCX
87					Plymouth Black	Kobra Hurricane
88	Eton 1s	Green Giants
89			Bristol White	UCXCX
90					Surrey Gold	Kobra Hurricane
91	Eton 2s	Green Giants
92			Bristol White	Brookes
93					Surrey Gold	Imperial Red
94	Eton 2s	Green Goblins
95			Datchet 1s	Brookes
96					Southampton Black	Imperial Red
97	Reading Red	Green Goblins
98			Datchet 1s	UCD
99					Southampton Black	Sussex Fenders
100	Reading Red	Bristol Blue
101			Plymouth Black	UCD
102					Eton 1s	Sussex Fenders
103	Datchet 1s	Kobra Hurricane
104			Surrey Gold	Green Giants
105					Eton 2s	Bristol White
106	UCD	Kobra Hurricane
107			Southampton Black	Green Giants
108					Reading Red	Bristol White
109	UCD	Imperial Red
110			Southampton Black	Green Goblins
111					Reading Red	Brookes
112	Plymouth Black	Imperial Red
113			Eton 1s	Green Goblins
114					UCXCX	Brookes
115	Plymouth Black	Sussex Fenders
116			Eton 1s	Bristol Blue
117					UCXCX	Datchet 1s
118	Surrey Gold	Sussex Fenders
119			Eton 2s	Bristol Blue
120					Brookes	Eton 1s
121	Kobra Hurricane	Imperial Red
122			Surrey Gold	Green Goblins
123					Brookes	Eton 2s
124	Kobra Hurricane	Sussex Fenders
125			Surrey Gold	Bristol Blue
126					UCXCX	Eton 2s
127	UCD	Sussex Fenders
128			Southampton Black	Bristol Blue
129					UCXCX	Reading Red
130	UCD	Green Giants
131			Southampton Black	Bristol White
132					Datchet 1s	Reading Red
133	Plymouth Black	Green Giants
134			Eton 1s	Bristol White
135					Datchet 1s	Imperial Red
136	Plymouth Black	Green Goblins
