	Clifton		Bristol		Bath
race	Red[1, 2, 3]	Blue[4, 5, 6]	Blue Stripe[7, 8, 9]	Grey Stripe[10, 11, 12]	Blue[13, 14, 15]	Yellow[16, 17, 18]
1	Reading Red	Cambridge Orange
2			Kobra Hurricane	Hybrid Black
3					Bath All-stars	Imperial Red
4	UCL Purple	Cambridge Orange
5			Southampton Blues	Hybrid Black
6					Clifton	Imperial Red
7	UCL Purple	Bristol mellow yellow
8			Southampton Blues	Manchester Purple
9					Clifton	Brunel 80085
10	Manchester Yellow	Bristol mellow yellow
11			Exeter	Manchester Purple
12					Bristol beige rage	Brunel 80085
13	Manchester Yellow	Bath Freshticles
14			Exeter	Cardiff Quack
15					Bristol beige rage	Sussex Pink
16	Kobra Hurricane	Bath Freshticles
17			Bath All-stars	Cardiff Quack
18					Reading Red	Sussex Pink
19	UCL Purple	Hybrid Black
20			Clifton	Bristol beige rage
21					Southampton Blues	Imperial Red
22	UCL Purple	Bath Freshticles
23			Clifton	Sussex Pink
24					Southampton Blues	Cardiff Quack
25	Cambridge Orange	Bath Freshticles
26			Bath All-stars	Sussex Pink
27					Kobra Hurricane	Cardiff Quack
28	Cambridge Orange	Bristol mellow yellow
29			Bath All-stars	Brunel 80085
30					Kobra Hurricane	Manchester Purple
31	Reading Red	Bristol mellow yellow
32			Exeter	Brunel 80085
33					Manchester Yellow	Manchester Purple
34	Reading Red	Bristol beige rage
35			Exeter	Imperial Red
36					Manchester Yellow	Hybrid Black
37	Cambridge Orange	Manchester Purple
38			Bath All-stars	Clifton
39					Kobra Hurricane	Brunel 80085
40	Cambridge Orange	Hybrid Black
41			Bath All-stars	Bristol beige rage
42					Kobra Hurricane	Imperial Red
43	Bristol mellow yellow	Hybrid Black
44			Exeter	Bristol beige rage
45					Manchester Yellow	Imperial Red
46	Bristol mellow yellow	Bath Freshticles
47			Exeter	Sussex Pink
48					Manchester Yellow	Cardiff Quack
49	Reading Red	Bath Freshticles
50			Southampton Blues	Sussex Pink
51					UCL Purple	Cardiff Quack
52	Reading Red	Clifton
53			Southampton Blues	Brunel 80085
54					UCL Purple	Manchester Purple
55	Exeter	Bath All-stars
56			Bristol mellow yellow	Cardiff Quack
57					Manchester Yellow	Sussex Pink
58	Reading Red	Bath All-stars
59			Cambridge Orange	Cardiff Quack
60					Kobra Hurricane	Sussex Pink
61	Reading Red	Hybrid Black
62			Cambridge Orange	Imperial Red
63					Kobra Hurricane	Bristol beige rage
