race	Red and Blue striped jibs(1, 2, 3)	Red and Blue striped jibs(4, 5, 6)	Red and Blue stripe(1, 2, 3)	Red and Blue stripe(4, 5, 6)
1	Oxford	UCLove			0	1	1
2			UCL Purple	Emirates Team Kickflip	0	1	1
3	Imperial White	Durham White			0	1	1
4			Northern RoyalT	Cambridge Green	0	1	1
5	Oxford	Durham Bubblegum Pink			0	2	2
6			UCL Purple	Brunel Blue	1	2	1
7	Imperial White	Emirates Team Kickflip			1	2	1
8			Northern RoyalT	UCLove	1	2	1
9	Durham White	Cambridge Green			1	2	1
10			Durham Bubblegum Pink	Brunel Blue	2	2	0
breakpoint
11	Oxford	Emirates Team Kickflip			2	3	1
12			UCL Purple	UCLove	2	3	1
13	Durham White	Northern RoyalT			2	3	1
14			Durham Bubblegum Pink	Imperial White	2	3	1
15	Oxford	Cambridge Green			2	4	2
16			Brunel Blue	Emirates Team Kickflip	3	4	1
17	UCL Purple	Northern RoyalT			3	4	1
18			UCLove	Durham White	3	4	1
19	Durham Bubblegum Pink	Cambridge Green			3	4	1
20			Brunel Blue	Oxford	3	5	2
21	UCL Purple	Imperial White			4	5	1
22			Emirates Team Kickflip	Durham White	4	5	1
23	Durham Bubblegum Pink	UCLove			4	5	1
24			Northern RoyalT	Oxford	4	6	2
25	Brunel Blue	Imperial White			4	6	2
26			Emirates Team Kickflip	Cambridge Green	5	6	1
27	UCL Purple	Durham White			5	6	1
28			Northern RoyalT	Durham Bubblegum Pink	5	6	1
29	Brunel Blue	UCLove			5	6	1
30			Imperial White	Cambridge Green	6	6	0
breakpoint
31	Oxford	Durham White			6	7	1
32			UCL Purple	Durham Bubblegum Pink	6	7	1
33	Emirates Team Kickflip	UCLove			6	7	1
34			Brunel Blue	Northern RoyalT	6	7	1
35	Oxford	Imperial White			6	8	2
36			UCL Purple	Cambridge Green	7	8	1
37	Emirates Team Kickflip	Durham Bubblegum Pink			7	8	1
38			Brunel Blue	Durham White	7	8	1
39	Northern RoyalT	Imperial White			7	8	1
40			UCLove	Cambridge Green	8	8	0
breakpoint
41	UCL Purple	Oxford			8	9	1
42			Durham Bubblegum Pink	Durham White	8	9	1
43	Northern RoyalT	Emirates Team Kickflip			8	9	1
44			UCLove	Imperial White	8	9	1
45	Brunel Blue	Cambridge Green			9	9	0
breakpoint
