	Ovington		Rondar	
Race	Red stripe (19,20,21)	Grey stripe (22,23,24)	Blue stripe (25,26,27)	Orange stripe (28,29,30)
1	Cambridge	Southampton		
2			Exeter	Loughborough
3	Cambridge	Edinburgh		
4			Exeter	Bristol
5	Strathclyde	Edinburgh		
6			Oxford	Bristol
7	Strathclyde	Loughborough		
8			Oxford	Southampton
9	Edinburgh	Loughborough		
10			Bristol	Southampton
11	Edinburgh	Oxford		
12			Bristol	Strathclyde
13	Cambridge	Oxford		
14			Exeter	Strathclyde
15	Cambridge	Loughborough		
16			Exeter	Southampton
17	Bristol	Loughborough		
18			Edinburgh	Southampton
19	Bristol	Cambridge		
20			Edinburgh	Exeter
21	Strathclyde	Cambridge		
22			Oxford	Exeter
23	Strathclyde	Southampton		
24			Oxford	Loughborough
25	Edinburgh	Bristol		
26			Southampton	Loughborough
27	Cambridge	Exeter		
28			Strathclyde	Oxford
29	Bristol	Exeter		
30			Edinburgh	Oxford
31	Bristol	Loughborough		
32			Edinburgh	Southampton
33	Strathclyde	Loughborough		
34			Cambridge	Southampton
35	Strathclyde	Oxford		
36			Cambridge	Exeter
37	Loughborough	Oxford		
38			Southampton	Exeter
39	Loughborough	Cambridge		
40			Southampton	Strathclyde
41	Bristol	Cambridge		
42			Edinburgh	Strathclyde
43	Bristol	Oxford		
44			Edinburgh	Exeter
45	Southampton	Oxford		
46			Loughborough	Exeter
47	Southampton	Bristol		
48			Loughborough	Edinburgh
49	Strathclyde	Bristol		
50			Cambridge	Edinburgh
51	Strathclyde	Exeter		
52			Cambridge	Oxford
53	Loughborough	Southampton		
54			Exeter	Oxford
55	Bristol	Edinburgh		
56			Strathclyde	Cambridge
57	Southampton	Edinburgh		
58			Loughborough	Cambridge
59	Southampton	Oxford		
60			Loughborough	Exeter
61	Strathclyde	Oxford		
62			Bristol	Exeter
63	Strathclyde	Cambridge		
64			Bristol	Edinburgh
65	Oxford	Cambridge		
66			Exeter	Edinburgh
67	Oxford	Bristol		
68			Exeter	Strathclyde
69	Southampton	Bristol		
70			Loughborough	Strathclyde
71	Southampton	Cambridge		
72			Loughborough	Edinburgh
73	Exeter	Cambridge		
74			Oxford	Edinburgh
75	Exeter	Southampton		
76			Oxford	Loughborough
77	Strathclyde	Southampton		
78			Bristol	Loughborough
79	Strathclyde	Edinburgh		
80			Bristol	Cambridge
81	Oxford	Exeter		
82			Edinburgh	Cambridge
83	Southampton	Loughborough		
84			Strathclyde	Bristol
85	Exeter	Loughborough		
86			Oxford	Bristol
87	Exeter	Cambridge		
88			Oxford	Edinburgh
89	Strathclyde	Cambridge		
90			Southampton	Edinburgh
91	Strathclyde	Bristol		
92			Southampton	Loughborough
93	Cambridge	Bristol		
94			Edinburgh	Loughborough
95	Cambridge	Southampton		
96			Edinburgh	Strathclyde
97	Exeter	Southampton		
98			Oxford	Strathclyde
99	Exeter	Bristol		
100			Oxford	Loughborough
101	Edinburgh	Bristol		
102			Cambridge	Loughborough
103	Edinburgh	Exeter		
104			Cambridge	Oxford
105	Strathclyde	Exeter		
106			Southampton	Oxford
107	Strathclyde	Loughborough		
108			Southampton	Bristol
109	Cambridge	Edinburgh		
110			Loughborough	Bristol
111	Exeter	Oxford		
112			Strathclyde	Southampton
113	Edinburgh	Oxford		
114			Cambridge	Southampton
115	Edinburgh	Bristol		
116			Cambridge	Loughborough
117	Strathclyde	Bristol		
118			Exeter	Loughborough
119	Strathclyde	Southampton		
120			Exeter	Oxford
121	Bristol	Southampton		
122			Loughborough	Oxford
123	Bristol	Exeter		
124			Loughborough	Strathclyde
125	Edinburgh	Exeter		
126			Cambridge	Strathclyde
127	Edinburgh	Southampton		
128			Cambridge	Oxford
129	Loughborough	Southampton		
130			Bristol	Oxford
131	Loughborough	Edinburgh		
132			Bristol	Cambridge
133	Strathclyde	Edinburgh		
134			Exeter	Cambridge
135	Strathclyde	Oxford		
136			Exeter	Southampton
137	Bristol	Loughborough		
138			Oxford	Southampton
139	Edinburgh	Cambridge		
140			Strathclyde	Exeter
141	Loughborough	Cambridge		
142			Bristol	Exeter
143	Loughborough	Southampton		
144			Bristol	Oxford
145	Strathclyde	Southampton		
146			Edinburgh	Oxford
147	Strathclyde	Exeter		
148			Edinburgh	Cambridge
149	Southampton	Exeter		
150			Oxford	Cambridge
151	Southampton	Edinburgh		
152			Oxford	Strathclyde
153	Loughborough	Edinburgh		
154			Bristol	Strathclyde
155	Loughborough	Exeter		
156			Bristol	Cambridge
157	Oxford	Exeter		
158			Southampton	Cambridge
159	Oxford	Loughborough		
160			Southampton	Bristol
161	Strathclyde	Loughborough		
162			Edinburgh	Bristol
163	Strathclyde	Cambridge		
164			Edinburgh	Exeter
165	Southampton	Oxford		
166			Cambridge	Exeter
167	Loughborough	Bristol		
168			Edinburgh	Strathclyde
